domain,primary_email,email_2,email_3,all_emails,email_source_url,pages_checked,source,status,niche,confidence,review_flag,review_reason,contact_form,contact_form_url,wayback_snapshot_date,date_scraped
turystyka.rp.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
horoskop.wp.pl,bok@wrozbyonline.pl,,,bok@wrozbyonline.pl,https://horoskop.wp.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
zielona.interia.pl,zielona_interia@firma.interia.pl,,,zielona_interia@firma.interia.pl,https://zielona.interia.pl,12,scraper,verified,News / Media,high,,,,,,23/06/2026
pl.ign.com,mateusz_kopacz@ign.com,,,mateusz_kopacz@ign.com,https://pl.ign.com,12,scraper,verified,Pets,high,,,,,,23/06/2026
pilot.wp.pl,kontakt@pilot.wp.pl,,,kontakt@pilot.wp.pl,https://pilot.wp.pl,12,scraper,verified,Sports,high,,,,,,23/06/2026
nety.pl,office@zp20.pl,,,office@zp20.pl,https://nety.pl/contact,12,scraper,needs_manual_check,Technology,medium,yes,domain_mismatch,Yes,https://nety.pl/contact,,23/06/2026
radio.lublin.pl,poczta@radiolublin.pl,,,poczta@radiolublin.pl,https://radio.lublin.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
logistyka.rp.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
radar.rp.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
sukces.rp.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
klimat.rp.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
tvn.pl,widzowie@tvn.pl,,,widzowie@tvn.pl,https://tvn.pl,12,scraper,verified,Lifestyle,high,,,,,,23/06/2026
cyfrowa.rp.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
samorzad.pap.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
tv.wp.pl,,,,,,12,,no_email_found,Entertainment,,yes,no_email_found,,,,23/06/2026
termedia.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
trojmiasto.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
nocowanie.pl,,,,,,0,blocked:hotel+motel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
energia.rp.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
pieniadze.rp.pl,,,,,,12,,no_email_found,Lifestyle,,yes,no_email_found,,,,23/06/2026
pb.pl,puls@pb.pl,,,puls@pb.pl,https://pb.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
gosc.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
armia.art.pl,,,,,,12,,no_email_found,Blog / Content Site,,yes,no_email_found,,,,23/06/2026
zrzutka.pl,media@zrzutka.pl,info@zrzutka.pl,,media@zrzutka.pl | info@zrzutka.pl,,12,smtp_guess,needs_manual_check,General / Other,low,yes,unclassified_niche; smtp_guess,,,,23/06/2026
lodz.pl,,,,,,12,,no_email_found,Lifestyle,,yes,no_email_found,,,,23/06/2026
interia.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
polskieradio.pl,,,,,,12,,no_email_found,Review Site,,yes,no_email_found,,,,23/06/2026
lechia.gda.pl,,,,,,12,,no_email_found,,,yes,unclassified_niche; no_email_found,,,,23/06/2026
polityka.pl,polityka@polityka.pl,cyfrowa@polityka.pl,,polityka@polityka.pl | cyfrowa@polityka.pl,https://polityka.pl,12,scraper,verified,Blog / Content Site,high,,,,,,23/06/2026
se.pl,listy@se.com.pl,,,listy@se.com.pl,https://se.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
poradnikzdrowie.pl,poradnikzdrowie@grupazpr.pl,,,poradnikzdrowie@grupazpr.pl,https://poradnikzdrowie.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
zdrowie.pap.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
wroclaw.se.pl,miasta@se.pl,,,miasta@se.pl,https://wroclaw.se.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
librus.pl,librus@librus.pl,,,librus@librus.pl,https://librus.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
forum.trojmiasto.pl,,,,,,12,,no_email_found,Entertainment,,yes,no_email_found,,,,23/06/2026
portalobronny.se.pl,listy@se.com.pl,,,listy@se.com.pl,https://portalobronny.se.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
prv.pl,,,,,,12,,no_email_found,Blog / Content Site,,yes,no_email_found,,,,23/06/2026
biznes.wprost.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
lekarzebezkolejki.pl,pomoc@lekarzebezkolejki.pl,,,pomoc@lekarzebezkolejki.pl,https://lekarzebezkolejki.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
rmf24.pl,staz@rmf24.pl,fakty@rmf.fm,,staz@rmf24.pl | fakty@rmf.fm,https://rmf24.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
weselezklasa.pl,media@weselezklasa.pl,,,media@weselezklasa.pl,,12,smtp_guess,needs_manual_check,Blog / Content Site,low,yes,smtp_guess,,,,23/06/2026
dom.wprost.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
twojezdrowie.rmf24.pl,fakty@rmf.fm,,,fakty@rmf.fm,https://twojezdrowie.rmf24.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
komputerswiat.pl,redakcja@komputerswiat.pl,recepcja@ringieraxelspringer.pl,,redakcja@komputerswiat.pl | recepcja@ringieraxelspringer.pl,https://komputerswiat.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
podroze.wprost.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
panoramafirm.pl,,,,,,0,blocked:hotel+hostel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
wnp.pl,internet@wnp.pl,kontakt@ptwp.pl,,internet@wnp.pl | kontakt@ptwp.pl,https://wnp.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
ktomalek.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
radiozet.pl,online@radiozet.pl,,,online@radiozet.pl,https://radiozet.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
polskieradio24.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
eska.pl,kontakt@eska.pl,,,kontakt@eska.pl,https://eska.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
natemat.pl,milena.bryla@natemat.pl,monika.jankowska-janicka@natemat.pl,kontakt@natemat.pl,milena.bryla@natemat.pl | monika.jankowska-janicka@natemat.pl | kontakt@natemat.pl | patronaty@natemat.pl,https://natemat.pl/contact,12,scraper,verified,Lifestyle,high,,,,,,23/06/2026
naffy.io,,,,,,12,smtp_catchall,no_email_found,Lifestyle,low,yes,smtp_catchall,,,,23/06/2026
rozrywka.wprost.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
pl.kompass.com,,,,,,12,,no_email_found,,,yes,unclassified_niche; no_email_found,,,,23/06/2026
niedziela.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
radiokrakow.pl,redakcja@radiokrakow.pl,reklama@radiokrakow.pl,,redakcja@radiokrakow.pl | reklama@radiokrakow.pl,https://radiokrakow.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,Yes,https://radiokrakow.pl,,23/06/2026
ekai.pl,marketing@ekai.pl,robak@ekai.pl,,marketing@ekai.pl | robak@ekai.pl,https://ekai.pl,12,scraper,verified,Blog / Content Site,high,,,,,,23/06/2026
rynekzdrowia.pl,redakcja@rynekzdrowia.pl,kontakt@ptwp.pl,,redakcja@rynekzdrowia.pl | kontakt@ptwp.pl,https://rynekzdrowia.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
portalsamorzadowy.pl,samorzady@ptwp.pl,kontakt@ptwp.pl,,samorzady@ptwp.pl | kontakt@ptwp.pl,https://portalsamorzadowy.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
telepolis.pl,redakcja@telepolis.pl,,,redakcja@telepolis.pl,https://telepolis.pl,12,scraper,verified,Entertainment,high,,,,,,23/06/2026
pap.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
niebezpiecznik.pl,biuro@niebezpiecznik.pl,,,biuro@niebezpiecznik.pl,https://niebezpiecznik.pl,12,scraper,verified,Technology,high,,,Yes,https://niebezpiecznik.pl,,23/06/2026
info.wiara.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
en.eurovelo.com,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
goingapp.pl,partnerships@goingapp.pl,media@goingapp.pl,content@goingapp.pl,partnerships@goingapp.pl | media@goingapp.pl | content@goingapp.pl,,12,smtp_guess,needs_manual_check,General / Other,low,yes,unclassified_niche; smtp_guess,,,,23/06/2026
opoka.org.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
enauczanie.pg.edu.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
portal.librus.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
elle.pl,,,,,,12,smtp_catchall,no_email_found,Lifestyle,low,yes,smtp_catchall,,,,23/06/2026
zwierciadlo.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
national-geographic.pl,,,,,,12,smtp_catchall,no_email_found,General / Other,low,yes,unclassified_niche; smtp_catchall,,,,23/06/2026
wyborcza.biz,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
meble.pl,cnc@meble.pl,,,cnc@meble.pl,https://meble.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
przetargi.egospodarka.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
dwa.eska.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
lifestyle.newseria.pl,info@newseria.pl,,,info@newseria.pl,https://lifestyle.newseria.pl,12,scraper,verified,Lifestyle,high,,,,,,23/06/2026
abczdrowie.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
biznes.newseria.pl,info@newseria.pl,,,info@newseria.pl,https://biznes.newseria.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
nofluffjobs.com,info@nofluffjobs.com,marketing@nofluffjobs.com,sales@nofluffjobs.com,info@nofluffjobs.com | marketing@nofluffjobs.com | sales@nofluffjobs.com | careers@nofluffjobs.com,https://nofluffjobs.com/about,12,scraper,verified,Technology,high,,,,,,23/06/2026
pl.everybodywiki.com,,,,,,12,,no_email_found,Education / Resources,,yes,no_email_found,,,,23/06/2026
farmer.pl,redakcja@farmer.pl,kontakt@ptwp.pl,,redakcja@farmer.pl | kontakt@ptwp.pl,https://farmer.pl,12,scraper,verified,Technology,high,,,Yes,https://farmer.pl,,23/06/2026
wedding.pl,kontakt@wedding.pl,,,kontakt@wedding.pl,https://wedding.pl,12,scraper,verified,Blog / Content Site,high,,,Yes,https://wedding.pl,,23/06/2026
portalspozywczy.pl,kontakt@ptwp.pl,,,kontakt@ptwp.pl,https://portalspozywczy.pl,12,scraper,needs_manual_check,Technology,medium,yes,domain_mismatch,,,,23/06/2026
traseo.pl,kontakt@traseo.pl,,,kontakt@traseo.pl,https://traseo.pl,12,scraper,verified,Blog / Content Site,high,,,,,,23/06/2026
perspektywy.pl,,,,,,12,smtp_catchall,no_email_found,Technology,low,yes,smtp_catchall,,,,23/06/2026
computerworld.pl,,,,,,12,,no_email_found,,,yes,unclassified_niche; no_email_found,,,,23/06/2026
ladnydom.pl,ladnydom@press-land.pl,reklama@press-land.pl,czterykaty@press-land.pl,ladnydom@press-land.pl | reklama@press-land.pl | czterykaty@press-land.pl,https://ladnydom.pl,12,scraper,needs_manual_check,Lifestyle,medium,yes,domain_mismatch,,,,23/06/2026
zdobywcysieci.pl,,,,,,7,,no_email_found,,,yes,unclassified_niche; no_email_found,,,2006-11-27,23/06/2026
rynekpierwotny.pl,biuro@rynekpierwotny.pl,,,biuro@rynekpierwotny.pl,https://rynekpierwotny.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
label-magazine.com,subscription@label-magazine.com,,,subscription@label-magazine.com,https://label-magazine.com,12,scraper,verified,Magazine,high,,,Yes,https://label-magazine.com,,23/06/2026
morizon.pl,,,,,,12,smtp_catchall,no_email_found,Blog / Content Site,low,yes,smtp_catchall,,,,23/06/2026
parkiet.com,press@parkiet.com,,,press@parkiet.com,,12,smtp_guess,needs_manual_check,Technology,low,yes,smtp_guess,,,,23/06/2026
senkoart.pl,projekt@senkoart.pl,,,projekt@senkoart.pl,https://senkoart.pl,12,scraper,verified,Blog / Content Site,high,,,Yes,https://senkoart.pl,,23/06/2026
niepelnosprawni.pl,redakcja@niepelnosprawni.pl,komfortka@integracja.org,,redakcja@niepelnosprawni.pl | komfortka@integracja.org,https://niepelnosprawni.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
ekologia.pl,info@ekologia.pl,,,info@ekologia.pl,,12,smtp_guess,needs_manual_check,Technology,low,yes,smtp_guess,,,,23/06/2026
dziecisawazne.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
mycompanypolska.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
